name,price,Net Quantity,Best Sellers Rank,Product Dimensions
"Fox's Extracts Crystal Clear Fruity Mints, 180 g",₹ 229.00,180 gram,"#6,718 in Grocery & Gourmet Foods ( See Top 100 in Grocery & Gourmet Foods ) #67 in Candies & Mints",
Kwik Mint - Sugar Free Cool Mint Mouth Freshener Oral Care Breath Strips - Pack of 1 (88 Strips),₹ 189.00,,,
FLASHMINT- Sugar Free Mint Flavored Oral Hygiene Strips-Pack of 4 (104 Strips),₹ 189.00,,,
Nirmal Mukhwas Aam Papad 400g - Alphonso Mango Cubes Real Mango Candy,₹ 190.00,400 gram,"#3,318 in Grocery & Gourmet Foods ( See Top 100 in Grocery & Gourmet Foods ) #21 in Candies & Mints #99 in Grocery",
"Ravalgaon Pan Pasand Gold Candy, 560 Grams (Pack of 2)",₹ 250.00,1120 gram,10 x 15 x 10 cm; 1.12 Kilograms,"#3,753 in Grocery & Gourmet Foods ( See Top 100 in Grocery & Gourmet Foods ) #27 in Candies & Mints"
Eno Bottle - 100 g (Lemon),₹ 120.00,100.0 gram,"#3,070 in Grocery & Gourmet Foods ( See Top 100 in Grocery & Gourmet Foods ) #18 in Candies & Mints",
Fisherman's Friend Sugar Free Mouth Freshener - Spearmint - Refreshing and Soothing Lozenges 25g,₹ 89.00,25 gram,"#5,880 in Grocery & Gourmet Foods ( See Top 100 in Grocery & Gourmet Foods ) #54 in Candies & Mints",
"Storck Werther's Original Chocolate Cream Candies Sugar Free, 60g",₹ 190.00,60 gram,"#5,005 in Grocery & Gourmet Foods ( See Top 100 in Grocery & Gourmet Foods ) #43 in Candies & Mints",
Aranyam Soft Ginger Chews Candy from North East 100g – Immunity Booster,₹ 310.00,100 gram,"#7,304 in Grocery & Gourmet Foods ( See Top 100 in Grocery & Gourmet Foods ) #75 in Candies & Mints",
Spraymintt Mouth Freshener - Pack of 3 (Ice Mint),₹ 228.00,,,
